date,code,sex,dob,race_ethnicity,adult_juv
3/13/16,602.5,F,7/14/98,H,juvenile
10/7/15,10851(a) VC,M,2/14/99,H,juvenile
10/7/15,10851(a) VC,M,2/2/00,H,juvenile
11/2/16,10852 VC,M,9/16/01,W,juvenile
1/23/20,11352(a) H&S,M,7/17/05,H,juvenile
3/2/17,11357(a) H&S,M,8/18/00,H,juvenile
10/12/16,11359 H&S,F,7/4/00,H,juvenile
6/2/17,1203.2 PC,M,5/19/00,H,juvenile
4/21/16,1203.2(a) PC,M,11/11/98,H,juvenile
6/14/19,12500(a) VC,M,6/27/01,H,juvenile
10/29/15,12500(a) VC,F,8/24/98,H,juvenile
11/28/15,12500(a) VC,M,9/8/98,H,juvenile
1/3/16,12500(a) VC,M,7/21/99,H,juvenile
2/5/16,12500(a) VC,M,8/24/00,H,juvenile
5/8/16,12500(a) VC,M,3/18/99,H,juvenile
6/25/16,12500(a) VC,M,11/4/99,H,juvenile
1/23/17,12500(a) VC,M,7/4/00,W,juvenile
2/12/17,12500(a) VC,M,6/21/99,H,juvenile
2/17/17,12500(a) VC,M,4/16/99,H,juvenile
4/15/17,12500(a) VC,M,1/20/00,H,juvenile
8/17/17,12500(a) VC,M,3/1/00,H,juvenile
1/9/18,12500(a) VC,M,5/5/00,H,juvenile
1/21/18,12500(a) VC,M,6/11/04,H,juvenile
7/19/17,12500(a) VC,M,9/23/00,U,juvenile
5/4/18,12500(a) VC,M,6/17/02,H,juvenile
8/5/19,12500(a) VC,F,10/29/02,H,juvenile
3/24/17,12500(a) VC,M,5/19/99,H,juvenile
11/13/16,12500(a) VC,M,12/20/00,H,juvenile
4/28/16,12500(a) VC,F,9/20/98,W,juvenile
11/4/18,12500(a) VC,M,11/19/01,H,juvenile
11/29/17,O/W-Warrant,F,7/17/03,HSD,juvenile
9/12/17,148(a)(1) PC,F,7/17/03,H,juvenile
9/12/17,148(a)(1) PC,M,8/18/00,H,juvenile
9/12/17,148(a)(1) PC,M,9/19/02,H,juvenile
6/9/18,148(a)(1) PC,M,1/29/02,H,juvenile
9/12/17,16590(o) PC,M,7/15/02,H,juvenile
2/10/16,182 PC,F,3/3/01,H,juvenile
12/23/16,182(a)(1) PC,M,5/19/00,H,juvenile
12/23/15,182(a)(1) PC,M,7/31/00,H,juvenile
10/2/16,182(a)(1) PC,M,11/8/01,H,juvenile
12/23/16,182(a)(1) PC,F,1/9/01,H,juvenile
9/25/16,182(a)(1) PC,M,8/18/00,H,juvenile
8/21/19,20002(a) VC,M,10/7/01,W,juvenile
1/5/17,211 PC,M,10/14/00,H,juvenile
7/15/19,21453(b) VC,M,10/2/03,H,juvenile
5/9/17,23152(a) VC,M,2/18/00,H,juvenile
6/1/19,236 PC,M,6/7/02,H,juvenile
11/16/16,242 PC,F,8/20/02,W,juvenile
5/23/19,242 PC,M,6/7/02,H,juvenile
10/20/15,243.2 PC,M,7/4/00,H,juvenile
4/18/16,243.4(a) PC,M,8/30/98,H,juvenile
9/25/17,243(d) PC,F,12/13/01,W,juvenile
2/16/17,245(a)(4) PC,M,5/13/01,H,juvenile
10/26/15,25662(a) B&P,M,8/18/00,H,juvenile
12/21/16,25662(a) B&P,M,10/1/01,H,juvenile
1/23/17,25662(a) B&P,F,1/9/01,H,juvenile
1/23/17,25662(a) B&P,M,8/18/00,H,juvenile
9/9/17,25662(a) B&P,F,10/6/99,H,juvenile
12/18/17,272(a)(1) PC,M,8/18/00,H,juvenile
1/25/17,273a(a) PC,M,10/1/01,H,juvenile
5/11/19,350(a) H&S,M,6/7/02,H,juvenile
10/20/15,415(1) PC,M,8/11/99,H,juvenile
10/20/15,415(1) PC,M,3/1/00,H,juvenile
9/16/16,451(b) PC,M,1/8/01,H,juvenile
11/11/16,459 PC,M,11/8/01,H,juvenile
11/11/16,459 PC,M,9/19/02,H,juvenile
11/11/16,459 PC,M,10/1/01,H,juvenile
11/16/16,459 PC,M,6/7/99,H,juvenile
1/20/18,459 PC,M,8/18/00,H,juvenile
11/15/16,459 PC,M,8/18/00,H,juvenile
5/13/19,484(a) PC,M,6/7/02,H,juvenile
6/27/19,484(a) PC,M,6/7/02,H,juvenile
8/27/18,484e(a) PC,M,6/27/01,H,juvenile
4/14/16,488 PC,F,1/9/01,H,juvenile
9/25/16,488 PC,M,11/14/99,H,juvenile
3/2/17,488 PC,M,8/18/00,H,juvenile
3/7/17,488 PC,M,10/14/01,H,juvenile
7/30/17,488 PC,M,2/16/05,H,juvenile
9/14/17,488 PC,M,5/7/03,H,juvenile
4/3/19,488 PC,M,6/7/02,H,juvenile
12/15/15,496(a) PC,M,1/6/99,H,juvenile
3/19/17,496(a) PC,M,9/19/02,H,juvenile
9/15/16,530.5(a) PC,M,10/1/01,H,juvenile
9/16/16,530.5(a) PC,M,6/27/02,H,juvenile
3/2/18,594(a)(1) PC,M,1/20/04,H,juvenile
3/13/16,602.5(a) PC,M,7/7/98,H,juvenile
4/3/17,602.1(d) PC,M,10/1/01,H,juvenile
3/14/16,602.5(a) PC,F,4/26/01,B,juvenile
3/14/16,602.5(a) PC,M,9/16/01,W,juvenile
3/15/16,602.5(a) PC,F,1/9/01,H,juvenile
12/12/16,602(1) PC,M,8/29/99,H,juvenile
12/12/16,602(1) PC,M,6/7/99,H,juvenile
12/12/16,602(1) PC,M,8/18/00,H,juvenile
12/4/18,626.10(a) PC,M,6/16/04,W,juvenile
9/19/16,647(f) PC,M,7/4/00,H,juvenile
6/2/17,777 W&l,M,10/14/01,H,juvenile
9/9/17,Muni Code,M,6/27/01,H,juvenile
9/9/17,Muni Code,M,8/18/00,H,juvenile
9/9/17,Muni Code,M,9/19/02,H,juvenile
11/10/17,O/W-Warrant,F,7/17/03,H,juvenile
8/8/18,159 PC,F,9/18/93,H,adult
5/9/16,O/W-Warrant,M,7/31/77,H,adult
6/24/16,O/W-Warrant,M,10/3/86,W,adult
6/26/16,O/W-Warrant,M,5/23/93,H,adult
7/3/16,O/W-Warrant,M,2/11/95,W,adult
9/7/16,O/W-Warrant,M,10/20/88,H,adult
12/20/17,O/W-Warrant,M,5/29/87,H,adult
5/8/19,O/W-Warrant,M,2/19/83,W,adult
9/15/17,O/W-Warrant,M,2/11/95,W,adult
9/18/19,11377(a) H&S,M,6/3/89,W,adult
10/15/15,10851(a) VC,M,4/5/96,H,adult
4/28/16,10851(a) VC,M,12/10/96,H,adult
12/5/16,10851(a) VC,M,4/11/88,W,adult
9/16/17,10851(a) VC,M,2/18/89,H,adult
1/26/18,10851(a) VC,M,6/11/92,H,adult
2/24/18,10851(a) VC,M,8/30/03,W,adult
1/30/20,10851(a) VC,F,5/27/94,W,adult
9/6/15,10851(a) VC,M,7/4/97,H,adult
7/26/16,10851(a) VC,M,11/21/91,W,adult
2/5/16,11350(a) H&S,M,10/17/97,W,adult
2/26/16,11350(a) H&S,M,1/1/86,W,adult
2/26/16,11350(a) H&S,M,7/24/89,W,adult
3/3/16,11350(a) H&S,M,12/2/82,W,adult
7/9/16,11350(a) H&S,M,1/4/84,W,adult
9/9/16,11350(a) H&S,M,11/10/93,W,adult
3/10/18,11350(a) H&S,F,2/6/93,H,adult
6/13/18,11350(a) H&S,F,11/17/96,W,adult
7/19/16,11350(a) H&S,M,11/26/77,W,adult
7/12/15,11350(a) H&S,M,3/18/89,W,adult
12/30/17,11350(a) H&S,M,6/4/88,W,adult
9/19/16,11357(a) H&S,M,6/26/98,H,adult
11/7/16,11357(a) H&S,M,4/20/96,H,adult
7/30/15,11357(b) H&S,F,1/2/88,H,adult
4/13/16,11357(d) H&S,F,10/28/97,H,adult
4/28/17,11364 H&S,F,5/29/87,H,adult
7/7/17,11364 H&S,M,2/11/95,W,adult
10/11/17,11364 H&S,M,2/11/95,W,adult
10/13/17,11364 H&S,M,12/27/62,W,adult
8/22/19,11364 H&S,F,2/11/95,W,adult
9/7/17,11364.1(0) H&S,F,1/7/63,W,adult
5/24/17,11364(a) H&S,F,1/7/63,W,adult
8/25/17,11364(a) H&S,M,1/2/69,W,adult
11/4/17,11364(a) H&S,M,11/1/94,W,adult
9/28/19,11364(a) H&S,M,2/6/93,H,adult
2/19/20,11364(a) H&S,M,2/11/95,W,adult
9/15/17,11364(a) H&S,M,9/20/75,H,adult
2/18/19,11364(a) H&S,M,1/7/63,W,adult
9/19/15,11377(a) H&S,M,6/5/97,H,adult
11/28/15,11377(a) H&S,M,6/14/86,W,adult
4/11/16,11377(a) H&S,M,1/7/63,W,adult
5/5/16,11377(a) H&S,M,4/24/90,W,adult
5/7/16,11377(a) H&S,M,10/6/96,H,adult
6/30/16,11377(a) H&S,M,10/24/72,H,adult
7/19/16,11377(a) H&S,M,7/17/94,W,adult
10/9/16,11377(a) H&S,M,1/7/69,W,adult
11/10/16,11377(a) H&S,M,4/11/88,W,adult
2/10/17,11377(a) H&S,M,10/14/85,H,adult
5/12/17,11377(a) H&S,F,3/23/59,W,adult
7/29/17,11377(a) H&S,F,2/11/95,W,adult
8/1/17,11377(a) H&S,M,4/30/62,W,adult
8/30/17,11377(a) H&S,M,8/8/81,H,adult
7/6/15,23152(a) VC,M,1/12/89,O,adult
10/22/17,11377(a) H&S,M,2/3/76,W,adult
1/15/18,11377(a) H&S,F,3/14/86,W,adult
3/29/18,11377(a) H&S,M,9/25/75,W,adult
5/29/18,11377(a) H&S,M,8/9/73,W,adult
8/5/18,11377(a) H&S,M,12/27/72,H,adult
11/23/18,11377(a) H&S,M,6/16/79,H,adult
8/11/15,14601.2(a) VC,M,3/24/48,W,adult
7/30/19,11377(a) H&S,M,1/7/63,W,adult
8/4/19,11377(a) H&S,F,8/9/77,W,adult
9/7/19,11377(a) H&S,M,1/7/63,W,adult
12/19/19,11377(a) H&S,F,1/7/63,W,adult
10/19/18,11377(a) H&S,M,2/11/95,W,adult
7/28/19,11377(a) H&S,M,12/30/84,W,adult
5/13/16,14601.1(a) VC,M,8/24/82,B,adult
10/16/15,11377(a) H&S,M,3/24/48,W,adult
1/5/19,11377(a) H&S,M,8/4/51,W,adult
7/19/15,11377(a) H&S,M,1/7/63,W,adult
1/10/18,11377(a) H&S,M,2/3/76,W,adult
7/19/15,11550(a) H&S,M,1/2/69,W,adult
4/5/18,12500(a) VC,M,10/27/59,H,adult
1/29/19,12500(a) VC,M,9/22/96,H,adult
7/21/17,1203.2 PC,M,3/7/80,H,adult
7/1/16,12500(a) VC,M,3/14/98,H,adult
9/16/16,12500(a) VC,F,7/14/74,W,adult
6/30/18,12500(a) VC,M,5/22/98,H,adult
1/27/20,12500(a) VC,M,12/29/95,H,adult
11/17/17,12500(a) VC,M,8/8/88,H,adult
7/4/15,12500(a) VC,M,4/16/77,H,adult
8/4/15,12500(a) VC,M,6/11/78,H,adult
8/18/15,12500(a) VC,M,6/21/61,H,adult
8/19/15,12500(a) VC,M,1/9/83,H,adult
10/20/15,12500(a) VC,M,1/8/87,H,adult
10/27/15,12500(a) VC,M,5/4/42,H,adult
11/13/15,12500(a) VC,M,12/12/95,W,adult
11/16/15,12500(a) VC,M,1/17/90,H,adult
11/22/15,12500(a) VC,M,2/27/93,H,adult
11/23/15,12500(a) VC,M,5/27/97,H,adult
11/30/15,12500(a) VC,M,8/7/57,H,adult
12/3/15,12500(a) VC,M,4/27/76,H,adult
12/11/15,12500(a) VC,M,12/9/95,H,adult
12/11/15,12500(a) VC,F,6/22/77,H,adult
12/27/15,12500(a) VC,M,7/12/89,H,adult
1/2/16,12500(a) VC,M,6/3/91,H,adult
1/4/16,12500(a) VC,F,1/31/85,H,adult
1/6/16,12500(a) VC,M,5/1/97,H,adult
1/10/16,12500(a) VC,F,8/17/92,H,adult
1/25/16,12500(a) VC,F,1/6/77,W,adult
2/14/16,12500(a) VC,M,12/4/97,W,adult
2/16/16,12500(a) VC,M,6/12/72,H,adult
2/29/16,12500(a) VC,M,10/10/78,H,adult
2/29/16,12500(a) VC,M,1/15/88,H,adult
3/7/16,12500(a) VC,M,11/25/81,H,adult
3/21/16,12500(a) VC,M,12/24/81,H,adult
4/10/16,12500(a) VC,M,4/1/73,H,adult
4/24/16,12500(a) VC,M,11/5/52,W,adult
5/8/16,12500(a) VC,M,3/2/61,H,adult
5/10/16,12500(a) VC,M,7/21/83,H,adult
6/2/16,12500(a) VC,M,9/28/89,W,adult
6/4/16,12500(a) VC,M,9/28/76,H,adult
6/13/16,12500(a) VC,M,1/5/86,W,adult
6/20/16,12500(a) VC,M,2/22/80,H,adult
7/7/16,12500(a) VC,F,7/16/68,H,adult
7/10/16,12500(a) VC,M,4/12/82,B,adult
7/16/16,12500(a) VC,M,12/29/76,H,adult
8/19/16,12500(a) VC,M,8/31/97,H,adult
9/2/16,12500(a) VC,F,8/5/86,H,adult
9/5/16,12500(a) VC,M,3/29/86,H,adult
11/2/16,12500(a) VC,M,8/2/94,H,adult
11/10/16,12500(a) VC,M,3/14/75,H,adult
11/14/16,12500(a) VC,M,4/18/50,H,adult
11/20/16,12500(a) VC,F,11/19/58,H,adult
12/10/16,12500(a) VC,M,1/5/89,H,adult
12/18/16,12500(a) VC,M,4/21/70,W,adult
12/23/16,12500(a) VC,M,5/21/70,W,adult
1/15/17,12500(a) VC,M,9/28/92,W,adult
1/16/17,12500(a) VC,M,11/30/84,H,adult
1/30/17,12500(a) VC,M,2/4/85,H,adult
2/16/17,12500(a) VC,F,11/28/86,H,adult
2/25/17,12500(a) VC,M,6/2/85,W,adult
2/27/17,12500(a) VC,M,9/14/80,H,adult
3/18/17,12500(a) VC,M,1/9/96,H,adult
3/23/17,12500(a) VC,M,11/14/84,W,adult
4/2/17,12500(a) VC,M,11/1/80,H,adult
5/6/17,12500(a) VC,M,12/24/97,H,adult
6/17/17,12500(a) VC,M,11/2/76,H,adult
6/19/17,12500(a) VC,M,7/20/61,H,adult
6/20/17,12500(a) VC,M,12/23/94,W,adult
6/26/17,12500(a) VC,F,7/23/84,B,adult
6/27/17,12500(a) VC,F,9/13/69,H,adult
9/3/16,647(f) PC,M,6/20/82,P,adult
11/14/15,Bench Warrant,M,5/15/72,O,adult
8/25/17,12500(a) VC,M,6/12/97,H,adult
9/2/17,12500(a) VC,F,4/15/93,H,adult
9/7/17,12500(a) VC,M,11/3/82,B,adult
9/9/17,12500(a) VC,M,4/17/72,W,adult
4/16/16,O/W-Warrant,M,3/30/62,O,adult
9/16/17,12500(a) VC,M,9/15/96,H,adult
9/28/17,12500(a) VC,F,3/28/93,H,adult
11/12/17,12500(a) VC,M,3/8/83,H,adult
11/18/17,12500(a) VC,M,6/1/83,H,adult
1/23/18,12500(a) VC,M,10/16/97,H,adult
7/17/17,O/W-Warrant,M,8/17/83,B,adult
3/6/18,12500(a) VC,M,9/6/98,H,adult
3/30/18,12500(a) VC,M,1/27/70,W,adult
9/23/17,23152(a) VC,M,8/17/71,B,adult
4/7/18,12500(a) VC,M,11/6/49,H,adult
4/8/18,12500(a) VC,F,4/27/97,H,adult
4/10/18,12500(a) VC,M,11/27/87,W,adult
4/11/18,12500(a) VC,M,7/27/87,H,adult
4/26/18,12500(a) VC,M,4/30/59,H,adult
5/5/18,12500(a) VC,M,3/7/83,W,adult
5/12/18,12500(a) VC,M,11/8/65,W,adult
5/19/18,12500(a) VC,M,1/23/00,H,adult
5/26/18,12500(a) VC,M,12/9/93,B,adult
6/28/18,12500(a) VC,M,8/25/95,W,adult
7/19/18,12500(a) VC,F,8/8/88,H,adult
7/20/18,12500(a) VC,M,10/27/70,H,adult
8/2/18,12500(a) VC,M,1/6/99,H,adult
8/10/18,12500(a) VC,F,6/13/88,H,adult
8/12/18,12500(a) VC,M,5/12/69,W,adult
8/26/18,12500(a) VC,M,3/1/00,H,adult
9/1/18,12500(a) VC,M,2/23/51,W,adult
9/2/18,12500(a) VC,M,6/28/86,H,adult
9/6/18,12500(a) VC,M,6/1/99,H,adult
9/13/18,12500(a) VC,M,3/5/82,H,adult
9/13/18,12500(a) VC,M,8/29/90,H,adult
9/27/18,12500(a) VC,M,8/14/91,W,adult
10/3/18,12500(a) VC,F,12/31/85,W,adult
10/4/18,12500(a) VC,M,2/2/70,H,adult
10/11/18,12500(a) VC,M,8/20/98,W,adult
10/18/18,12500(a) VC,M,11/26/88,W,adult
12/20/18,12500(a) VC,M,10/25/00,H,adult
12/30/18,12500(a) VC,F,7/7/97,H,adult
1/28/19,12500(a) VC,M,3/17/92,H,adult
2/7/19,12500(a) VC,F,12/1/97,B,adult
2/12/19,12500(a) VC,M,11/12/95,W,adult
3/3/19,12500(a) VC,M,12/27/98,H,adult
3/18/19,12500(a) VC,M,3/23/89,H,adult
4/17/19,12500(a) VC,M,6/28/86,H,adult
5/5/19,12500(a) VC,M,3/6/70,H,adult
5/25/19,12500(a) VC,M,4/10/81,H,adult
7/9/19,12500(a) VC,M,3/21/35,H,adult
7/23/19,12500(a) VC,M,9/6/97,H,adult
8/2/19,12500(a) VC,M,4/24/96,H,adult
8/6/19,12500(a) VC,M,2/3/76,H,adult
8/9/19,12500(a) VC,M,6/17/43,W,adult
10/6/17,14601.1(a) VC,M,5/4/89,B,adult
8/10/19,12500(a) VC,M,1/4/82,W,adult
8/11/19,12500(a) VC,M,2/28/01,H,adult
8/18/19,12500(a) VC,M,3/5/00,W,adult
8/19/19,12500(a) VC,M,4/23/68,H,adult
8/19/19,12500(a) VC,M,7/2/73,H,adult
8/20/19,12500(a) VC,M,7/7/86,H,adult
8/23/19,12500(a) VC,M,11/2/68,W,adult
9/15/19,12500(a) VC,F,7/27/88,H,adult
12/9/19,12500(a) VC,M,11/8/01,H,adult
12/12/19,12500(a) VC,M,6/27/87,H,adult
12/14/19,12500(a) VC,M,8/18/80,W,adult
1/3/20,12500(a) VC,M,12/8/00,W,adult
1/3/20,12500(a) VC,M,10/21/01,H,adult
1/3/20,12500(a) VC,M,7/1/78,H,adult
1/4/20,12500(a) VC,M,1/15/94,W,adult
1/17/20,12500(a) VC,M,3/17/64,H,adult
1/18/20,12500(a) VC,M,11/26/88,W,adult
1/30/20,12500(a) VC,M,4/19/67,H,adult
2/19/20,12500(a) VC,M,4/12/00,H,adult
2/20/20,12500(a) VC,M,4/27/49,W,adult
2/23/20,12500(a) VC,M,7/7/78,H,adult
11/12/17,23152(a) VC,M,5/5/78,A,adult
5/8/20,12500(a) VC,M,1/4/01,H,adult
8/5/15,12500(a) VC,M,3/17/64,H,adult
2/20/17,12500(a) VC,M,8/7/57,H,adult
5/14/18,12500(a) VC,M,3/10/88,H,adult
9/15/15,12500(a) VC,F,6/15/76,H,adult
12/29/15,12500(a) VC,F,11/2/77,H,adult
7/30/16,12500(a) VC,M,9/3/79,H,adult
3/15/20,12500(a) VC,M,6/20/96,H,adult
4/28/17,32 PC,F,12/19/79,O,adult
11/30/18,12500(a) VC,M,6/16/79,H,adult
